mCA	sex	expected_gradient	observed_gradient	gradient_difference	gradient_relative_difference	lower_CI_difference	upper_CI_difference	p_value							
10q-	female	3.64E-05	-7.78E-06	4.42E-05	-1.213327469	3.07E-05	5.64E-05	0							
10q-	male	1.12E-05	3.84E-06	7.38E-06	-0.658035714	-1.21E-06	1.58E-05	0.052897964							
11p=	female	3.82E-05	1.75E-05	2.07E-05	-0.541994751	4.88E-06	3.55E-05	0.00579832							
11p=	male	4.10E-05	1.44E-05	2.66E-05	-0.649645737	8.18E-06	4.45E-05	0.003501572							
11q-	female	1.74E-05	1.49E-05	2.46E-06	-0.141542002	-1.52E-05	1.88E-05	0.395935859							
11q-	male	2.92E-05	1.57E-05	1.34E-05	-0.460230201	6.57E-07	2.43E-05	0.023265333							
11q=	female	2.65E-05	2.08E-05	5.79E-06	-0.218116626	-7.48E-06	1.78E-05	0.189242029							
11q=	male	3.80E-05	4.10E-05	2.92E-06	0.076639452	-1.34E-05	1.80E-05	0.363790853							
12+	female	2.38E-05	3.43E-05	1.05E-05	0.440941572	-5.45E-07	2.02E-05	0.027422127							
12+	male	3.28E-05	3.69E-05	4.09E-06	0.124466138	-1.06E-05	1.77E-05	0.290938731							
12q=	female	1.65E-05	3.69E-06	1.28E-05	-0.776413374	2.37E-06	2.23E-05	0.007076981							
12q=	male	1.55E-05	1.30E-05	2.51E-06	-0.161802686	-8.27E-06	1.30E-05	0.322818315							
13q-	female	2.43E-05	3.23E-05	8.07E-06	0.332562748	-4.17E-06	1.97E-05	0.110622134							
13q-	male	4.58E-05	5.49E-05	9.16E-06	0.200197023	-9.85E-06	2.65E-05	0.163895666							
13q=	female	2.89E-05	3.26E-05	3.77E-06	0.130621877	-1.11E-05	1.75E-05	0.311040231							
13q=	male	4.29E-05	1.54E-05	2.75E-05	-0.640336527	8.64E-06	4.51E-05	0.002150332							
14q-	female	7.15E-07	6.21E-06	5.49E-06	7.680672269	-2.73E-07	1.06E-05	0.030211136							
14q-	male	1.31E-05	9.83E-06	3.27E-06	-0.249847095	-4.70E-06	1.03E-05	0.216571675							
14q+	female	1.21E-05	1.35E-05	1.41E-06	0.117129091	-5.95E-06	7.83E-06	0.343078822							
14q+	male	1.97E-05	2.44E-05	4.75E-06	0.241344196	-5.12E-06	1.38E-05	0.177650927							
